ASCII Trace IXXAT MiniMon V3  Version: 1.1.2.4268
Date: 12/4/2019
Start time: 4:34:02 PM
Stop time: 4:34:09 PM
Overruns: 0  Errorframes: 0                                          
Baudrate: 125 kbit/s
"Time","Identifier (hex)","Format","Flags","Data (hex)"
"00:00:41.667","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.671","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.675","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.680","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.684","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.688","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.692","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.696","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.700","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.704","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.708","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.712","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.716","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.720","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.725","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.729","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.733","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.737","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.741","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.745","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.749","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.753","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.757","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.761","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.765","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.770","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.774","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.778","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.782","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.786","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.790","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.794","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.798","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.802","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.806","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.811","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.815","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.819","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.823","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.827","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.831","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.835","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.839","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.843","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.847","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.851","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.856","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.860","CC","Std","","00 1A 00 1A 00 96 09 09"
"00:00:41.864","CC","Std","","00 1A 00 1A 00 96 09 09"
